query_id,query_text,query_language,query_type,expected_files,chunk_id,document_id,title,issuer,jurisdiction,language,local_file_path,source_url,page_reference,section_reference,lexical_rank,semantic_rank,hybrid_rank,chunk_text,human_label,reviewer_note,publication_date,origin_query_ids
Q01,哪些机构研发或应用生成式人工智能技术但未向境内公众提供服务时，不适用《生成式人工智能服务管理暂行办法》？,zh,direct,phase2_5/cn_genai_interim_measures_2023.html,0d6d53f6-4019-5489-892f-573094e945fc,7bfce756-cb53-55d0-bb79-5aa128f1a796,生成式人工智能服务管理暂行办法,国家互联网信息办公室等七部门,CN,zh,phase2_5\cn_genai_interim_measures_2023.html,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,,生成式人工智能服务管理暂行办法_中央网络安全和信息化委员会办公室,4,3,4,"害国家形象，煽动分裂国家、破坏国家统一和社会稳定，宣扬恐怖主义、极端主义，宣扬民族仇恨、民族歧视，暴力、淫秽色情，以及虚假有害信息等法律、行政法规禁止的内容；
（二）在算法设计、训练数据选择、模型生成和优化、提供服务等过程中，采取有效措施防止产生民族、信仰、国别、地域、性别、年龄、职业、健康等歧视；
（三）尊重知识产权、商业道德，保守商业秘密，不得利用算法、数据、平台等优势，实施垄断和不正当竞争行为；
（四）尊重他人合法权益，不得危害他人身心健康，不得侵害他人肖像权、名誉权、荣誉权、隐私权和个人信息权益；
（五）基于服务类型特点，采取有效措施，提升生成式人工智能服务的透明度，提高生成内容的准确性和可靠性。
第二章 技术发展与治理
第五条
鼓励生成式人工智能技术在各行业、各领域的创新应用，生成积极健康、向上向善的优质内容，探索优化应用场景，构建应用生态体系。
支持行业组织、企业、教育和科研机构、公共文化机构、有关专业机构等在生成式人工智能技术创新、数据资源建设、转化应用、风险防范等方面开展协作。
第六条
鼓励生成式人工智能算法、框架、芯片及配套软件平台等基础技术的自主创新，平等互利开展国际交流与合作，参与生成式人工智能相关国际规则制定。
推动生成式人工智能基础设施和公共训练数据资源平台建设。促进算力资源协同共享，提升算力资源利用效能。推动公共数据分类分级有序开放，扩展高质量的公共训练数据资源。鼓励采用安全可信的芯片、软件、工具、算力和数据资源。
第七条
生成式人工智能服务提供者（以下称提供者）应当依法开展预训练、优化训练等训练数据处理活动，遵守以下规定：
（一）使用具有合法来源的数据和基础模型；
（二）涉及知识产权的，不得侵害他人依法享有的知识产权；
（三）涉及个人信息的，应当取得个人同意或者符合法律、行政法规规定的其他情形；
（四）采取有效措施提高训练数据质量，增强训练数据的真实性、准确性、客观性、多样性；
（五）《中华人民共和国网络安全法》、《中华人民共和国数据安全法》、《中华人民共和国个人信息保护法》等法律、行政法规的其他有关规定和有关主管部门的相关监管要求。
第八条
在生成式人工智能技术研发过程中进行数据标注的，提供者应当制定符合本办法要求的清晰、具体、可操作的标注规则；开展数据标注质量评估，抽样核验标注内容的准确性；对标注人员进行必要培训，提升尊法守法意识，监督指导标注人员规范开展标注工作。
第三章 服务规范
第九条
提供者应当依法承担网络信息内容生产者责任，履行网络信息安全义务。涉及个人信息的，依法承担个人信息处理者责任，履行个人信息保护义务。
提供者应当与注册其服务的生成式人工智能服务使用者（以下称使用者）签订服务协议，明确双方权利义务。
第十条",2,核心证据：中国生成式AI规则直接规定训练数据的合法来源、知识产权、个人信息合法基础、数据质量及数据标注要求。,2023-07-10,Q01|Q11|Q17
Q15,"What transparency, technical-documentation, and copyright-policy duties apply to providers of general-purpose AI models under the EU AI Act?",en,direct,phase2_5/eu_ai_act_2024_en.pdf,2a37cca7-d621-5a12-962b-71fa36db494c,e564bfe4-14df-59e7-8194-196f0b7042ed,Regulation (EU) 2024/1689 (Artificial Intelligence Act),European Parliament and Council of the European Union,EU,en,phase2_5\eu_ai_act_2024_en.pdf,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1689,Page 27,,,7,,"d open-source AI components. The fact of making AI components availa ble through open
reposit or ies should not, in itself, constitute a monetisation.
(104) The provid ers of g eneral-pur pose AI models that are released under a free and open-source licence, and whose
paramet ers, including the weights, the inf or mation on the model archit ecture, and the inf or mation on model usage,
are made publicly ava ilable should be subject to ex ceptions as rega rds the transparency-related requirements
im posed on g eneral-pur pose AI models, unless they can be considered to present a systemic r isk, in which case the
circumstance that the model is transparent and accompanied by an open-source license should not be considered to
be a suffi cient reason to exclude compliance with the obligati ons under this Regulation. In any case, given that the
release of general-pur pose AI models under free and open-source licence does not necessar ily reveal substantial
inf or mation on the data set used f or the training or fine -tuning of the model and on how compliance of cop yr ight
la w was thereby ensured, the excep tion provid ed f or g eneral-pur pose AI models from compliance with the",2,核心证据：开源例外不能消除与训练数据集和版权合规有关的关键披露义务，直接界定训练数据透明度义务边界。,2024-06-13,Q15
Q15,"What transparency, technical-documentation, and copyright-policy duties apply to providers of general-purpose AI models under the EU AI Act?",en,direct,phase2_5/eu_ai_act_2024_en.pdf,4d62ef0c-b6e0-5a56-ab9d-36f5717de13e,e564bfe4-14df-59e7-8194-196f0b7042ed,Regulation (EU) 2024/1689 (Artificial Intelligence Act),European Parliament and Council of the European Union,EU,en,phase2_5\eu_ai_act_2024_en.pdf,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1689,Page 27,,,1,1,"odel and on how compliance of cop yr ight
la w was thereby ensured, the excep tion provid ed f or g eneral-pur pose AI models from compliance with the
transparency-relate d requirements should not concer n the obligati on to produce a summar y about the cont ent used
f or model training and the obligation to put in place a policy to comply with Union cop yr ight law , in par ticular to
identify and comply with the reser vation of r ights pursuant to Ar ticle 4(3) of Directive (EU) 2019/790 of the
European Pa rliament and of the Council (
40
).
(105) General-pur pose AI models, in par ticular larg e g enerative AI models, capable of g enerating text, imag es, and other
cont ent, present unique innovation oppor tunities but also challeng es to ar tists, authors, and other creators and the
wa y their creative content is create d, distr ibut ed, used and consumed. The development and training of suc h models
require access to vast amounts of te xt, images, videos and other data. T ext and data mining te chniques ma y be used
exte nsively in this context f or the retr ieval and analysis of suc h cont ent, which ma y be protect ed by cop yr ight and",2,核心证据：AI Act明确训练内容摘要与版权合规政策的重要性，并直接讨论大型生成式/GPAI模型训练使用受版权保护内容。,2024-06-13,Q15|Q21
Q21,Compare China’s interim rules for public generative-AI services with the EU AI Act’s obligations for general-purpose AI model providers.,en,comparative,phase2_5/cn_genai_interim_measures_2023.html|phase2_5/eu_ai_act_2024_en.pdf,5392bdc8-3fae-55b2-add8-2d529b6a2e3b,e564bfe4-14df-59e7-8194-196f0b7042ed,Regulation (EU) 2024/1689 (Artificial Intelligence Act),European Parliament and Council of the European Union,EU,en,phase2_5\eu_ai_act_2024_en.pdf,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1689,Page 84,,2,,3,"ional law .
SECTION 2
Oblig ations f or providers of g ener al-pur pose AI models
Ar ticle 53
Obligations for pro viders of general-pur pose AI models
1. Providers of g eneral-pur pose AI models shall:
(a) dra w up and keep up-to-da te the te chnical documentation of the model, including its training and testing process and
the results of its evaluation, which shall contain, at a minimum, the inf or mation set out in Annex XI f or the pur pose of
provid ing it, upon request, to the AI Office and the national compet ent author ities;
(b) dra w up, keep up-to-da te and mak e a vailable inf or mation and documentation t o provid ers of AI syste ms who inte nd to
integrat e the g eneral-pur pose AI model into their AI systems. Without prejudice to the need t o obser ve and prot ect
intellect ual proper ty r ights and confidential business inf or mation or trade secrets in accordance with Union and
national law , the inf or mation and documentation shall:
(i) enable provider s of AI syste ms to hav e a good understanding of the capabilities and limitations of the
g eneral-pur pose AI model and to comply with their obligations pursuant to this Regulation; and",2,核心证据：AI Act第53条要求GPAI提供者维护覆盖训练/测试过程的技术文档，并向监管机构及下游提供必要信息。,2024-06-13,Q21
Q01,哪些机构研发或应用生成式人工智能技术但未向境内公众提供服务时，不适用《生成式人工智能服务管理暂行办法》？,zh,direct,phase2_5/cn_genai_interim_measures_2023.html,5e01bef4-aa13-57f4-b8c0-badcd3da319b,1415b941-a535-5833-80b4-f682dcc95158,网络数据安全管理条例,中华人民共和国国务院,CN,zh,phase2_5\cn_network_data_security_regulation_2024.html,https://app.www.gov.cn/govdata/gov/202409/30/520076/article.html,,网络数据安全管理条例,6,5,5,"施运营者提供服务，或者参与其他公共基础设施、公共服务系统建设、运行、维护的，应当依照法律、法规的规定和合同约定履行网络数据安全保护义务，提供安全、稳定、持续的服务。
前款规定的网络数据处理者未经委托方同意，不得访问、获取、留存、使用、泄露或者向他人提供网络数据，不得对网络数据进行关联分析。
第十七条
为国家机关提供服务的信息系统应当参照电子政务系统的管理要求加强网络数据安全管理，保障网络数据安全。
第十八条
网络数据处理者使用自动化工具访问、收集网络数据，应当评估对网络服务带来的影响，不得非法侵入他人网络，不得干扰网络服务正常运行。
第十九条
提供生成式人工智能服务的网络数据处理者应当加强对训练数据和训练数据处理活动的安全管理，采取有效措施防范和处置网络数据安全风险。
第二十条
面向社会提供产品、服务的网络数据处理者应当接受社会监督，建立便捷的网络数据安全投诉、举报渠道，公布投诉、举报方式等信息，及时受理并处理网络数据安全投诉、举报。
第三章　个人信息保护
第二十一条
网络数据处理者在处理个人信息前，通过制定个人信息处理规则的方式依法向个人告知的，个人信息处理规则应当集中公开展示、易于访问并置于醒目位置，内容明确具体、清晰易懂，包括但不限于下列内容：
（一）网络数据处理者的名称或者姓名和联系方式；
（二）处理个人信息的目的、方式、种类，处理敏感个人信息的必要性以及对个人权益的影响；
（三）个人信息保存期限和到期后的处理方式，保存期限难以确定的，应当明确保存期限的确定方法；
（四）个人查阅、复制、转移、更正、补充、删除、限制处理个人信息以及注销账号、撤回同意的方法和途径等。
网络数据处理者按照前款规定向个人告知收集和向其他网络数据处理者提供个人信息的目的、方式、种类以及网络数据接收方信息的，应当以清单等形式予以列明。网络数据处理者处理不满十四周岁未成年人个人信息的，还应当制定专门的个人信息处理规则。
第二十二条
网络数据处理者基于个人同意处理个人信息的，应当遵守下列规定：
（一）收集个人信息为提供产品或者服务所必需，不得超范围收集个人信息，不得通过误导、欺诈、胁迫等方式取得个人同意；
（二）处理生物识别、宗教信仰、特定身份、医疗健康、金融账户、行踪轨迹等敏感个人信息的，应当取得个人的单独同意；
（三）处理不满十四周岁未成年人个人信息的，应当取得未成年人的父母或者其他监护人的同意；
（四）不得超出个人同意的个人信息处理目的、方式、种类、保存期限处理个人信息；
（五）不得在个人明确表示不同意处理其个人信息后，频繁征求同意；
（六）个人信息的处理目的、方式、种类发生变更的，应当重新取得个人同意。
法律、行政法规规定处理敏感个人信息应当取得书面同意的，从其规定。
第二十三条",2,核心证据：《网络数据安全管理条例》第19条直接要求生成式AI服务的数据处理者加强训练数据及训练数据处理活动的安全管理。,2024-09-24,Q01|Q03|Q11
Q01,哪些机构研发或应用生成式人工智能技术但未向境内公众提供服务时，不适用《生成式人工智能服务管理暂行办法》？,zh,direct,phase2_5/cn_genai_interim_measures_2023.html,7f6a69c9-bc49-5f8f-ab0e-efc9306a3c89,7bfce756-cb53-55d0-bb79-5aa128f1a796,生成式人工智能服务管理暂行办法,国家互联网信息办公室等七部门,CN,zh,phase2_5\cn_genai_interim_measures_2023.html,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,,生成式人工智能服务管理暂行办法_中央网络安全和信息化委员会办公室,1,4,2,"，监督指导标注人员规范开展标注工作。
第三章 服务规范
第九条
提供者应当依法承担网络信息内容生产者责任，履行网络信息安全义务。涉及个人信息的，依法承担个人信息处理者责任，履行个人信息保护义务。
提供者应当与注册其服务的生成式人工智能服务使用者（以下称使用者）签订服务协议，明确双方权利义务。
第十条
提供者应当明确并公开其服务的适用人群、场合、用途，指导使用者科学理性认识和依法使用生成式人工智能技术，采取有效措施防范未成年人用户过度依赖或者沉迷生成式人工智能服务。
第十一条
提供者对使用者的输入信息和使用记录应当依法履行保护义务，不得收集非必要个人信息，不得非法留存能够识别使用者身份的输入信息和使用记录，不得非法向他人提供使用者的输入信息和使用记录。
提供者应当依法及时受理和处理个人关于查阅、复制、更正、补充、删除其个人信息等的请求。
第十二条
提供者应当按照《互联网信息服务深度合成管理规定》对图片、视频等生成内容进行标识。
第十三条
提供者应当在其服务过程中，提供安全、稳定、持续的服务，保障用户正常使用。
第十四条
提供者发现违法内容的，应当及时采取停止生成、停止传输、消除等处置措施，采取模型优化训练等措施进行整改，并向有关主管部门报告。
提供者发现使用者利用生成式人工智能服务从事违法活动的，应当依法依约采取警示、限制功能、暂停或者终止向其提供服务等处置措施，保存有关记录，并向有关主管部门报告。
第十五条
提供者应当建立健全投诉、举报机制，设置便捷的投诉、举报入口，公布处理流程和反馈时限，及时受理、处理公众投诉举报并反馈处理结果。
第四章 监督检查和法律责任
第十六条
网信、发展改革、教育、科技、工业和信息化、公安、广播电视、新闻出版等部门，依据各自职责依法加强对生成式人工智能服务的管理。
国家有关主管部门针对生成式人工智能技术特点及其在有关行业和领域的服务应用，完善与创新发展相适应的科学监管方式，制定相应的分类分级监管规则或者指引。
第十七条
提供具有舆论属性或者社会动员能力的生成式人工智能服务的，应当按照国家有关规定开展安全评估，并按照《互联网信息服务算法推荐管理规定》履行算法备案和变更、注销备案手续。
第十八条
使用者发现生成式人工智能服务不符合法律、行政法规和本办法规定的，有权向有关主管部门投诉、举报。
第十九条
有关主管部门依据职责对生成式人工智能服务开展监督检查，提供者应当依法予以配合，按要求对训练数据来源、规模、类型、标注规则、算法机制机理等予以说明，并提供必要的技术、数据等支持和协助。
参与生成式人工智能服务安全评估和监督检查的相关机构和人员对在履行职责中知悉的国家秘密、商业秘密、个人隐私和个人信息应当依法予以保密，不得泄露或者非法向他人提供。
第二十条",2,核心证据：第19条要求生成式AI服务提供者向监管说明训练数据来源、规模、类型、标注规则及算法机制。,2023-07-10,Q01|Q13
Q21,Compare China’s interim rules for public generative-AI services with the EU AI Act’s obligations for general-purpose AI model providers.,en,comparative,phase2_5/cn_genai_interim_measures_2023.html|phase2_5/eu_ai_act_2024_en.pdf,9bc3cd1c-89d1-54a0-bafb-d3ad8335a476,e564bfe4-14df-59e7-8194-196f0b7042ed,Regulation (EU) 2024/1689 (Artificial Intelligence Act),European Parliament and Council of the European Union,EU,en,phase2_5\eu_ai_act_2024_en.pdf,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1689,Page 28,,,9,,"of g eneral-pur pose AI models should be
limit ed to that modifi cation or fine-tuning, f or exam ple by complementing the already existing t echnical
documentation with inf or mation on the modifi cations, including new training data sources, as a means to com ply
with the value ch ain oblig ations provided in this Regulation.
(110) General-pur pose AI models could pose systemic r isks which include, but are not limit ed t o, any actual or reasonably
f oreseeable nega tive effe cts in relation to major accidents, disr up tions of cr itical sectors and ser ious consequences to
public health and saf ety ; any actual or reasonably f oreseeable negative effe cts on democratic processes, public and
economic secur ity ; the dissemination of illega l, false, or discr iminat or y cont ent. Systemic r isks should be understood
t o increase with model capabilities and model reach, can ar ise along the entire lifecy cle of the model, and are
inf luenced by conditions of misuse, model reliability , model f air ness and model secur ity , the level of autonom y of
EN
OJ L, 12.7.2024
28/144 ELI: http://data.europa.eu/eli/reg/2024/1689/oj",2,核心证据：模型修改或微调时，技术文档应补充包括新训练数据来源在内的信息，直接涉及训练数据来源追踪。,2024-06-13,Q21
Q21,Compare China’s interim rules for public generative-AI services with the EU AI Act’s obligations for general-purpose AI model providers.,en,comparative,phase2_5/cn_genai_interim_measures_2023.html|phase2_5/eu_ai_act_2024_en.pdf,b9eaacf4-1aff-5187-a0b2-0ad530b49332,e564bfe4-14df-59e7-8194-196f0b7042ed,Regulation (EU) 2024/1689 (Artificial Intelligence Act),European Parliament and Council of the European Union,EU,en,phase2_5\eu_ai_act_2024_en.pdf,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1689,Page 28,,,3,5,"mining, under cer tain conditions. Und er these r ules, r ightsholders ma y choose to reser ve their r ights over their
w ork s or other subject matter to prevent te xt and data mining, unless this is done f or the pur poses of scientific
researc h. Where the r ights to op t out has been expressly reser ved in an appropr iate manner , provid ers of
g eneral-pur pose AI models need to obtain an author isation from r ightsholders if the y want to car r y out t ext and
data mining ove r suc h w ork s.
(106) Provi ders that place g eneral-pur pose AI models on the Union market should ensure com pliance with the relevant
oblig ations in this Regulation. T o that end, providers of g eneral-pur pose AI models should put in place a policy to
com ply with Uni on law on cop yr ight and related r ights, in par ticular to identify and com ply with the reser vation of
r ights expressed b y r ightsholders pursuant to Ar ticle 4(3) of Directive (EU) 2019/790. Any provider placing
a g eneral-pur pose AI model on the Uni on market should comply with this obligation, regard less of the jur isdiction",2,核心证据：GPAI训练涉及文本和数据挖掘时须尊重权利人的权利保留，并建立符合欧盟版权法的政策。,2024-06-13,Q21
Q15,"What transparency, technical-documentation, and copyright-policy duties apply to providers of general-purpose AI models under the EU AI Act?",en,direct,phase2_5/eu_ai_act_2024_en.pdf,e7f886b6-2c3c-526c-abfa-6a93f0494610,e564bfe4-14df-59e7-8194-196f0b7042ed,Regulation (EU) 2024/1689 (Artificial Intelligence Act),European Parliament and Council of the European Union,EU,en,phase2_5\eu_ai_act_2024_en.pdf,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1689,Page 28,,,10,,"2019/790. Any provider placing
a g eneral-pur pose AI model on the Uni on market should comply with this obligation, regard less of the jur isdiction
in which the cop yr ight-relevant acts under pinning the training of those general-pur pose AI models take place. This
is necessar y to ensure a level pla ying fie ld among provider s of gene ral-pur pose AI models where no provider should
be able t o g ain a comp etitive advantage in the Union market by applying lower cop yr ight standards than those
pro vided in the Uni on.
(107) In order to increase transparency on the data that is used in the pre-training and training of general-pur pose AI
models, including text and data protect ed by cop yr ight law , it is adequate that provid ers of suc h models draw up and
mak e publicly a vailable a sufficiently detailed summar y of the content used f or training the g eneral-pur pose AI
model. While taking into due account the need to protect trade secrets and conf idential business inf or mation, this
summar y should be g enerally comp rehensive in its scope instead of te ch nically detailed to facilitat e par ties with",2,核心证据：要求GPAI提供者公开足够详细的训练内容摘要，直接对应训练数据透明度。,2024-06-13,Q15|Q21
Q15,"What transparency, technical-documentation, and copyright-policy duties apply to providers of general-purpose AI models under the EU AI Act?",en,direct,phase2_5/eu_ai_act_2024_en.pdf,137b92d3-2948-5299-a63b-712e6c05cf49,e564bfe4-14df-59e7-8194-196f0b7042ed,Regulation (EU) 2024/1689 (Artificial Intelligence Act),European Parliament and Council of the European Union,EU,en,phase2_5\eu_ai_act_2024_en.pdf,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1689,Page 27,,,5,9,"(101) Provi ders of general-purpo se AI models hav e a par ticular role and responsibility along the AI value chain, as the
models the y provide ma y f or m the basis f or a rang e of downstream syste ms, of te n provided b y downstream
pro viders that necessitate a good understanding of the models and their capabilities, both t o enable the integration of
suc h models into their products, and to fulfil their obligations under this or other regulations. Theref ore,
propor tionate transparency measures should be laid down, including the drawi ng up and keeping up to date of
documentation, and the provision of inf or mation on the general-pur pose AI model f or its usage b y the downstream
pro viders. T echnical documentation should be prepared and kep t up to dat e by the g eneral-pur pose AI model
pro vider f or the pur pose of making it ava ilable, upon request, t o the AI Offi ce and the national compet ent
author ities. The minimal set of elements to be included in such documentation should be set out in specific annexe s
t o this Regulation. The Commission should be empo wered to amend those annexe s by means of delegat ed acts in
light of evolving t echnological developments.",1,部分相关：说明GPAI模型文档与下游信息透明度的政策理由，但没有具体聚焦训练数据要求。,2024-06-13,Q15
