query_id,query_text,query_language,query_type,expected_files,chunk_id,document_id,title,issuer,jurisdiction,language,local_file_path,source_url,page_reference,section_reference,lexical_rank,semantic_rank,hybrid_rank,chunk_text,human_label,reviewer_note
Q01,哪些机构研发或应用生成式人工智能技术但未向境内公众提供服务时，不适用《生成式人工智能服务管理暂行办法》？,zh,direct,phase2_5/cn_genai_interim_measures_2023.html,40734300-f686-5c76-b64f-928d91e8f077,7bfce756-cb53-55d0-bb79-5aa128f1a796,生成式人工智能服务管理暂行办法,国家互联网信息办公室等七部门,CN,zh,phase2_5\cn_genai_interim_measures_2023.html,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,,生成式人工智能服务管理暂行办法_中央网络安全和信息化委员会办公室,2,1,1,"生成式人工智能服务管理暂行办法_中央网络安全和信息化委员会办公室
设为首页
加入收藏
手机版
繁体
搜索
首 页
时政要闻
网信政务
互动服务
热点专题
当前位置：
首页
>
正文
首页
时政要闻
网信政务
互动服务
热点专题
生成式人工智能服务管理暂行办法
2023年07月13日 15:00
来源：
 中国网信网
【打印】
【纠错】
国家互联网信息办公室
中华人民共和国国家发展和改革委员会
中华人民共和国教育部
中华人民共和国科学技术部
中华人民共和国工业和信息化部
中华人民共和国公安部
国家广播电视总局
令
第15号
《生成式人工智能服务管理暂行办法》已经2023年5月23日国家互联网信息办公室2023年第12次室务会会议审议通过，并经国家发展和改革委员会、教育部、科学技术部、工业和信息化部、公安部、国家广播电视总局同意，现予公布，自2023年8月15日起施行。
国家互联网信息办公室主任 庄荣文
国家发展和改革委员会主任 郑栅洁
教育部部长 怀进鹏
科学技术部部长 王志刚
工业和信息化部部长 金壮龙
公安部部长 王小洪
国家广播电视总局局长 曹淑敏
2023年7月10日
生成式人工智能服务管理暂行办法
第一章 总　则
第一条
为了促进生成式人工智能健康发展和规范应用，维护国家安全和社会公共利益，保护公民、法人和其他组织的合法权益，根据《中华人民共和国网络安全法》、《中华人民共和国数据安全法》、《中华人民共和国个人信息保护法》、《中华人民共和国科学技术进步法》等法律、行政法规，制定本办法。
第二条
利用生成式人工智能技术向中华人民共和国境内公众提供生成文本、图片、音频、视频等内容的服务（以下称生成式人工智能服务），适用本办法。
国家对利用生成式人工智能服务从事新闻出版、影视制作、文艺创作等活动另有规定的，从其规定。
行业组织、企业、教育和科研机构、公共文化机构、有关专业机构等研发、应用生成式人工智能技术，未向境内公众提供生成式人工智能服务的，不适用本办法的规定。
第三条
国家坚持发展和安全并重、促进创新和依法治理相结合的原则，采取有效措施鼓励生成式人工智能创新发展，对生成式人工智能服务实行包容审慎和分类分级监管。
第四条
提供和使用生成式人工智能服务，应当遵守法律、行政法规，尊重社会公德和伦理道德，遵守以下规定：
（一）坚持社会主义核心价值观，不得生成煽动颠覆国家政权、推翻社会主义制度，危害国家安全和利益、损害国家形象，煽动分裂国家、破坏国家统一和社会稳定，宣扬恐怖主义、极端主义，宣扬民族仇恨、民族歧视，暴力、淫秽色情，以及虚假有害信息等法律、行政法规禁止的内容；
（二）在算法设计、训练数据选择、模型生成和优化、提供服务等过程中，采取有效措施防止产生民族、信仰、国别、地域、性别、年龄、职业、健康等歧视；",,
Q01,哪些机构研发或应用生成式人工智能技术但未向境内公众提供服务时，不适用《生成式人工智能服务管理暂行办法》？,zh,direct,phase2_5/cn_genai_interim_measures_2023.html,7f6a69c9-bc49-5f8f-ab0e-efc9306a3c89,7bfce756-cb53-55d0-bb79-5aa128f1a796,生成式人工智能服务管理暂行办法,国家互联网信息办公室等七部门,CN,zh,phase2_5\cn_genai_interim_measures_2023.html,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,,生成式人工智能服务管理暂行办法_中央网络安全和信息化委员会办公室,1,4,2,"，监督指导标注人员规范开展标注工作。
第三章 服务规范
第九条
提供者应当依法承担网络信息内容生产者责任，履行网络信息安全义务。涉及个人信息的，依法承担个人信息处理者责任，履行个人信息保护义务。
提供者应当与注册其服务的生成式人工智能服务使用者（以下称使用者）签订服务协议，明确双方权利义务。
第十条
提供者应当明确并公开其服务的适用人群、场合、用途，指导使用者科学理性认识和依法使用生成式人工智能技术，采取有效措施防范未成年人用户过度依赖或者沉迷生成式人工智能服务。
第十一条
提供者对使用者的输入信息和使用记录应当依法履行保护义务，不得收集非必要个人信息，不得非法留存能够识别使用者身份的输入信息和使用记录，不得非法向他人提供使用者的输入信息和使用记录。
提供者应当依法及时受理和处理个人关于查阅、复制、更正、补充、删除其个人信息等的请求。
第十二条
提供者应当按照《互联网信息服务深度合成管理规定》对图片、视频等生成内容进行标识。
第十三条
提供者应当在其服务过程中，提供安全、稳定、持续的服务，保障用户正常使用。
第十四条
提供者发现违法内容的，应当及时采取停止生成、停止传输、消除等处置措施，采取模型优化训练等措施进行整改，并向有关主管部门报告。
提供者发现使用者利用生成式人工智能服务从事违法活动的，应当依法依约采取警示、限制功能、暂停或者终止向其提供服务等处置措施，保存有关记录，并向有关主管部门报告。
第十五条
提供者应当建立健全投诉、举报机制，设置便捷的投诉、举报入口，公布处理流程和反馈时限，及时受理、处理公众投诉举报并反馈处理结果。
第四章 监督检查和法律责任
第十六条
网信、发展改革、教育、科技、工业和信息化、公安、广播电视、新闻出版等部门，依据各自职责依法加强对生成式人工智能服务的管理。
国家有关主管部门针对生成式人工智能技术特点及其在有关行业和领域的服务应用，完善与创新发展相适应的科学监管方式，制定相应的分类分级监管规则或者指引。
第十七条
提供具有舆论属性或者社会动员能力的生成式人工智能服务的，应当按照国家有关规定开展安全评估，并按照《互联网信息服务算法推荐管理规定》履行算法备案和变更、注销备案手续。
第十八条
使用者发现生成式人工智能服务不符合法律、行政法规和本办法规定的，有权向有关主管部门投诉、举报。
第十九条
有关主管部门依据职责对生成式人工智能服务开展监督检查，提供者应当依法予以配合，按要求对训练数据来源、规模、类型、标注规则、算法机制机理等予以说明，并提供必要的技术、数据等支持和协助。
参与生成式人工智能服务安全评估和监督检查的相关机构和人员对在履行职责中知悉的国家秘密、商业秘密、个人隐私和个人信息应当依法予以保密，不得泄露或者非法向他人提供。
第二十条",,
Q01,哪些机构研发或应用生成式人工智能技术但未向境内公众提供服务时，不适用《生成式人工智能服务管理暂行办法》？,zh,direct,phase2_5/cn_genai_interim_measures_2023.html,b8cf5439-dad1-5408-ae41-4f8aeeff9dc8,7bfce756-cb53-55d0-bb79-5aa128f1a796,生成式人工智能服务管理暂行办法,国家互联网信息办公室等七部门,CN,zh,phase2_5\cn_genai_interim_measures_2023.html,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,,生成式人工智能服务管理暂行办法_中央网络安全和信息化委员会办公室,3,2,3,"提供者应当依法予以配合，按要求对训练数据来源、规模、类型、标注规则、算法机制机理等予以说明，并提供必要的技术、数据等支持和协助。
参与生成式人工智能服务安全评估和监督检查的相关机构和人员对在履行职责中知悉的国家秘密、商业秘密、个人隐私和个人信息应当依法予以保密，不得泄露或者非法向他人提供。
第二十条
对来源于中华人民共和国境外向境内提供生成式人工智能服务不符合法律、行政法规和本办法规定的，国家网信部门应当通知有关机构采取技术措施和其他必要措施予以处置。
第二十一条
提供者违反本办法规定的，由有关主管部门依照《中华人民共和国网络安全法》、《中华人民共和国数据安全法》、《中华人民共和国个人信息保护法》、《中华人民共和国科学技术进步法》等法律、行政法规的规定予以处罚；法律、行政法规没有规定的，由有关主管部门依据职责予以警告、通报批评，责令限期改正；拒不改正或者情节严重的，责令暂停提供相关服务。
构成违反治安管理行为的，依法给予治安管理处罚；构成犯罪的，依法追究刑事责任。
第五章 附　则
第二十二条
本办法下列用语的含义是：
（一）生成式人工智能技术，是指具有文本、图片、音频、视频等内容生成能力的模型及相关技术。
（二）生成式人工智能服务提供者，是指利用生成式人工智能技术提供生成式人工智能服务（包括通过提供可编程接口等方式提供生成式人工智能服务）的组织、个人。
（三）生成式人工智能服务使用者，是指使用生成式人工智能服务生成内容的组织、个人。
第二十三条
法律、行政法规规定提供生成式人工智能服务应当取得相关行政许可的，提供者应当依法取得许可。
外商投资生成式人工智能服务，应当符合外商投资相关法律、行政法规的规定。
第二十四条
本办法自2023年8月15日起施行。
关闭
中央网络安全和信息化委员会办公室
中华人民共和国国家互联网信息办公室 © 版权所有
联系我们
承办：国家互联网应急中心　技术支持：长安通信科技有限责任公司
京ICP备14042428号
京公网安备11040102700108号
学习强国
◆
◆
微信
◆
◆
返回顶部
中央网络安全和信息化委员会办公室
中华人民共和国国家互联网信息办公室 © 版权所有
承办：国家互联网应急中心
技术支持：长安通信科技有限责任公司
京ICP备14042428号
京公网安备11040102700108号
PC版
Produced By CMS 网站群内容管理系统 publishdate:2024/01/05 23:10:47",,
Q01,哪些机构研发或应用生成式人工智能技术但未向境内公众提供服务时，不适用《生成式人工智能服务管理暂行办法》？,zh,direct,phase2_5/cn_genai_interim_measures_2023.html,0d6d53f6-4019-5489-892f-573094e945fc,7bfce756-cb53-55d0-bb79-5aa128f1a796,生成式人工智能服务管理暂行办法,国家互联网信息办公室等七部门,CN,zh,phase2_5\cn_genai_interim_measures_2023.html,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,,生成式人工智能服务管理暂行办法_中央网络安全和信息化委员会办公室,4,3,4,"害国家形象，煽动分裂国家、破坏国家统一和社会稳定，宣扬恐怖主义、极端主义，宣扬民族仇恨、民族歧视，暴力、淫秽色情，以及虚假有害信息等法律、行政法规禁止的内容；
（二）在算法设计、训练数据选择、模型生成和优化、提供服务等过程中，采取有效措施防止产生民族、信仰、国别、地域、性别、年龄、职业、健康等歧视；
（三）尊重知识产权、商业道德，保守商业秘密，不得利用算法、数据、平台等优势，实施垄断和不正当竞争行为；
（四）尊重他人合法权益，不得危害他人身心健康，不得侵害他人肖像权、名誉权、荣誉权、隐私权和个人信息权益；
（五）基于服务类型特点，采取有效措施，提升生成式人工智能服务的透明度，提高生成内容的准确性和可靠性。
第二章 技术发展与治理
第五条
鼓励生成式人工智能技术在各行业、各领域的创新应用，生成积极健康、向上向善的优质内容，探索优化应用场景，构建应用生态体系。
支持行业组织、企业、教育和科研机构、公共文化机构、有关专业机构等在生成式人工智能技术创新、数据资源建设、转化应用、风险防范等方面开展协作。
第六条
鼓励生成式人工智能算法、框架、芯片及配套软件平台等基础技术的自主创新，平等互利开展国际交流与合作，参与生成式人工智能相关国际规则制定。
推动生成式人工智能基础设施和公共训练数据资源平台建设。促进算力资源协同共享，提升算力资源利用效能。推动公共数据分类分级有序开放，扩展高质量的公共训练数据资源。鼓励采用安全可信的芯片、软件、工具、算力和数据资源。
第七条
生成式人工智能服务提供者（以下称提供者）应当依法开展预训练、优化训练等训练数据处理活动，遵守以下规定：
（一）使用具有合法来源的数据和基础模型；
（二）涉及知识产权的，不得侵害他人依法享有的知识产权；
（三）涉及个人信息的，应当取得个人同意或者符合法律、行政法规规定的其他情形；
（四）采取有效措施提高训练数据质量，增强训练数据的真实性、准确性、客观性、多样性；
（五）《中华人民共和国网络安全法》、《中华人民共和国数据安全法》、《中华人民共和国个人信息保护法》等法律、行政法规的其他有关规定和有关主管部门的相关监管要求。
第八条
在生成式人工智能技术研发过程中进行数据标注的，提供者应当制定符合本办法要求的清晰、具体、可操作的标注规则；开展数据标注质量评估，抽样核验标注内容的准确性；对标注人员进行必要培训，提升尊法守法意识，监督指导标注人员规范开展标注工作。
第三章 服务规范
第九条
提供者应当依法承担网络信息内容生产者责任，履行网络信息安全义务。涉及个人信息的，依法承担个人信息处理者责任，履行个人信息保护义务。
提供者应当与注册其服务的生成式人工智能服务使用者（以下称使用者）签订服务协议，明确双方权利义务。
第十条",,
Q01,哪些机构研发或应用生成式人工智能技术但未向境内公众提供服务时，不适用《生成式人工智能服务管理暂行办法》？,zh,direct,phase2_5/cn_genai_interim_measures_2023.html,5e01bef4-aa13-57f4-b8c0-badcd3da319b,1415b941-a535-5833-80b4-f682dcc95158,网络数据安全管理条例,中华人民共和国国务院,CN,zh,phase2_5\cn_network_data_security_regulation_2024.html,https://app.www.gov.cn/govdata/gov/202409/30/520076/article.html,,网络数据安全管理条例,6,5,5,"施运营者提供服务，或者参与其他公共基础设施、公共服务系统建设、运行、维护的，应当依照法律、法规的规定和合同约定履行网络数据安全保护义务，提供安全、稳定、持续的服务。
前款规定的网络数据处理者未经委托方同意，不得访问、获取、留存、使用、泄露或者向他人提供网络数据，不得对网络数据进行关联分析。
第十七条
为国家机关提供服务的信息系统应当参照电子政务系统的管理要求加强网络数据安全管理，保障网络数据安全。
第十八条
网络数据处理者使用自动化工具访问、收集网络数据，应当评估对网络服务带来的影响，不得非法侵入他人网络，不得干扰网络服务正常运行。
第十九条
提供生成式人工智能服务的网络数据处理者应当加强对训练数据和训练数据处理活动的安全管理，采取有效措施防范和处置网络数据安全风险。
第二十条
面向社会提供产品、服务的网络数据处理者应当接受社会监督，建立便捷的网络数据安全投诉、举报渠道，公布投诉、举报方式等信息，及时受理并处理网络数据安全投诉、举报。
第三章　个人信息保护
第二十一条
网络数据处理者在处理个人信息前，通过制定个人信息处理规则的方式依法向个人告知的，个人信息处理规则应当集中公开展示、易于访问并置于醒目位置，内容明确具体、清晰易懂，包括但不限于下列内容：
（一）网络数据处理者的名称或者姓名和联系方式；
（二）处理个人信息的目的、方式、种类，处理敏感个人信息的必要性以及对个人权益的影响；
（三）个人信息保存期限和到期后的处理方式，保存期限难以确定的，应当明确保存期限的确定方法；
（四）个人查阅、复制、转移、更正、补充、删除、限制处理个人信息以及注销账号、撤回同意的方法和途径等。
网络数据处理者按照前款规定向个人告知收集和向其他网络数据处理者提供个人信息的目的、方式、种类以及网络数据接收方信息的，应当以清单等形式予以列明。网络数据处理者处理不满十四周岁未成年人个人信息的，还应当制定专门的个人信息处理规则。
第二十二条
网络数据处理者基于个人同意处理个人信息的，应当遵守下列规定：
（一）收集个人信息为提供产品或者服务所必需，不得超范围收集个人信息，不得通过误导、欺诈、胁迫等方式取得个人同意；
（二）处理生物识别、宗教信仰、特定身份、医疗健康、金融账户、行踪轨迹等敏感个人信息的，应当取得个人的单独同意；
（三）处理不满十四周岁未成年人个人信息的，应当取得未成年人的父母或者其他监护人的同意；
（四）不得超出个人同意的个人信息处理目的、方式、种类、保存期限处理个人信息；
（五）不得在个人明确表示不同意处理其个人信息后，频繁征求同意；
（六）个人信息的处理目的、方式、种类发生变更的，应当重新取得个人同意。
法律、行政法规规定处理敏感个人信息应当取得书面同意的，从其规定。
第二十三条",,
Q01,哪些机构研发或应用生成式人工智能技术但未向境内公众提供服务时，不适用《生成式人工智能服务管理暂行办法》？,zh,direct,phase2_5/cn_genai_interim_measures_2023.html,a6467e53-65f3-5817-a12e-013141941bce,1415b941-a535-5833-80b4-f682dcc95158,网络数据安全管理条例,中华人民共和国国务院,CN,zh,phase2_5\cn_network_data_security_regulation_2024.html,https://app.www.gov.cn/govdata/gov/202409/30/520076/article.html,,网络数据安全管理条例,5,7,6,"得超出评估时明确的数据出境目的、方式、范围和种类、规模等。
第三十九条
国家采取措施，防范、处置网络数据跨境安全风险和威胁。任何个人、组织不得提供专门用于破坏、避开技术措施的程序、工具等；明知他人从事破坏、避开技术措施等活动的，不得为其提供技术支持或者帮助。
第六章　网络平台服务提供者义务
第四十条
网络平台服务提供者应当通过平台规则或者合同等明确接入其平台的第三方产品和服务提供者的网络数据安全保护义务，督促第三方产品和服务提供者加强网络数据安全管理。
预装应用程序的智能终端等设备生产者，适用前款规定。
第三方产品和服务提供者违反法律、行政法规的规定或者平台规则、合同约定开展网络数据处理活动，对用户造成损害的，网络平台服务提供者、第三方产品和服务提供者、预装应用程序的智能终端等设备生产者应当依法承担相应责任。
国家鼓励保险公司开发网络数据损害赔偿责任险种，鼓励网络平台服务提供者、预装应用程序的智能终端等设备生产者投保。
第四十一条
提供应用程序分发服务的网络平台服务提供者，应当建立应用程序核验规则并开展网络数据安全相关核验。发现待分发或者已分发的应用程序不符合法律、行政法规的规定或者国家标准的强制性要求的，应当采取警示、不予分发、暂停分发或者终止分发等措施。
第四十二条
网络平台服务提供者通过自动化决策方式向个人进行信息推送的，应当设置易于理解、便于访问和操作的个性化推荐关闭选项，为用户提供拒绝接收推送信息、删除针对其个人特征的用户标签等功能。
第四十三条
国家推进网络身份认证公共服务建设，按照政府引导、用户自愿原则进行推广应用。
鼓励网络平台服务提供者支持用户使用国家网络身份认证公共服务登记、核验真实身份信息。
第四十四条
大型网络平台服务提供者应当每年度发布个人信息保护社会责任报告，报告内容包括但不限于个人信息保护措施和成效、个人行使权利的申请受理情况、主要由外部成员组成的个人信息保护监督机构履行职责情况等。
第四十五条
大型网络平台服务提供者跨境提供网络数据，应当遵守国家数据跨境安全管理要求，健全相关技术和管理措施，防范网络数据跨境安全风险。
第四十六条
大型网络平台服务提供者不得利用网络数据、算法以及平台规则等从事下列活动：
（一）通过误导、欺诈、胁迫等方式处理用户在平台上产生的网络数据；
（二）无正当理由限制用户访问、使用其在平台上产生的网络数据；
（三）对用户实施不合理的差别待遇，损害用户合法权益；
（四）法律、行政法规禁止的其他活动。
第七章　监督管理
第四十七条
国家网信部门负责统筹协调网络数据安全和相关监督管理工作。
公安机关、国家安全机关依照有关法律、行政法规和本条例的规定，在各自职责范围内承担网络数据安全监督管理职责，依法防范和打击危害网络数据安全的违法犯罪活动。
国家数据管理部门在具体承担数据管理工作中履行相应的网络数据安全职责。",,
Q01,哪些机构研发或应用生成式人工智能技术但未向境内公众提供服务时，不适用《生成式人工智能服务管理暂行办法》？,zh,direct,phase2_5/cn_genai_interim_measures_2023.html,f1fc7fb2-6935-5110-81a5-791ee500fafd,66fb6cf6-d5ec-5183-9cf5-2aee221c176a,“十四五”智能制造发展规划,工业和信息化部等八部门,CN,zh,phase2_5\cn_intelligent_manufacturing_14th_fyp_2021.pdf,https://www.miit.gov.cn/jgsj/ghs/zlygh/art/2022/art_c201cab037444d5c94921a53614332f9.html,Page 12,,,6,7,"12
（三）提升公共服务能力
鼓励行业组织、地方政府、产业园区、高校、科研院所、龙头企业等
建设智能制造公共服务平台，支持标准试验验证平台和现有服务机构提升
检验检测、咨询诊断、计量测试、安全评估、培训推广等服务能力。制定
智能制造公共服务平台规范，构建优势互补、协同发展的服务网络。建立
长效评价机制，鼓励第三方机构开展智能制造能力成熟度评估，研究发布
行业和区域智能制造发展指数。
（四）深化开放合作
加强与相关国家、地区及国际组织的交流，开展智能制造技术、标准、
人才等合作。鼓励跨国公司、国外科研机构等在华建设智能制造研发中心、
示范工厂、培训中心等。加强知识产权保护，推动建立数据资源产权、交
易流通、跨境传输和安全保护等基础制度和标准规范。依托共建“一带一
路”倡议、金砖国家合作机制、区域全面经济伙伴关系协定（RCEP）等，
鼓励智能制造装备、软件、标准和解决方案“走出去”。
五、组织实施
工业和信息化部会同有关部门做好规划的组织实施，各有关部门按照
职责分工，采取切实有效的政策措施，抓好重点任务落实。各地要结合本
地实际，落实相关配套政策，做好信息反馈工作。相关行业组织要充分发
挥桥梁和纽带作用，协同推动规划的贯彻落实。有关部门、各地方、相关
行业组织要加强智能制造经验模式总结和宣传推广。",,
Q01,哪些机构研发或应用生成式人工智能技术但未向境内公众提供服务时，不适用《生成式人工智能服务管理暂行办法》？,zh,direct,phase2_5/cn_genai_interim_measures_2023.html,c944f6f4-1447-5d8b-9215-d7f411ef670d,66fb6cf6-d5ec-5183-9cf5-2aee221c176a,“十四五”智能制造发展规划,工业和信息化部等八部门,CN,zh,phase2_5\cn_intelligent_manufacturing_14th_fyp_2021.pdf,https://www.miit.gov.cn/jgsj/ghs/zlygh/art/2022/art_c201cab037444d5c94921a53614332f9.html,Page 8,,7,,8,"8
（三）加强自主供给，壮大产业体系新优势
依托强大国内市场，加快发展装备、软件和系统解决方案，培育发展
智能制造新兴产业，加速提升供给体系适配性，引领带动产业体系优化升
级。
大力发展智能制造装备。针对感知、控制、决策、执行等环节的短板
弱项，加强用产学研联合创新，突破一批“卡脖子”基础零部件和装置。
推动先进工艺、信息技术与制造装备深度融合，通过智能车间/工厂建设，
带动通用、专用智能制造装备加速研制和迭代升级。推动数字孪生、人工
智能等新技术创新应用，研制一批国际先进的新型智能制造装备。
专栏 4 智能制造装备创新发展行动
基础零部件和装置。研发微纳位移传感器、柔性触觉传感器、高分辨率
视觉传感器、成分在线检测仪器、先进控制器、高精度伺服驱动系统、高性
能高可靠减速器、可穿戴人机交互设备、工业现场定位设备、智能数控系统
等。
通用智能制造装备。研发智能立/卧式五轴加工中心、车铣复合加工中
心、高精度数控磨床等工作母机；智能焊接机器人、智能移动机器人、半
导体（洁净）机器人等工业机器人；激光/电子束高效选区熔化装备、激光
选区烧结成形装备等增材制造装备；超快激光等先进激光加工装备；高端分
布式控制系统、可编程逻辑控制器、监视控制和数据采集系统等工业控制装
备；数字化非接触精密测量、在线无损检测、激光跟踪测量等智能检测装备
和仪器；智能多层多向穿梭车、智能大型立体仓库等智能物流装备。
专用智能制造装备。研发汽车发动机、变速箱等高效加工与近净成形成
套装备，航空航天大型复合材料智能铺放、成形、加工和检测成套装备，航
空航天智能装配装备，船舶板材激光焊接成套装备，高精度智能化热/冷连
轧成套装备，百万吨以上智能化乙烯成套装备，新型干法水泥全流程智能化
生产线，食品高黏度流体灌装智能成套装备，连续式针织物/纯涤纶织物印
染成套装备，满足 GMP 要求的无菌原料药智能成套装备，极大规模集成电
路制造成套装备，新型平板显示制造成套装备等。
新型智能制造装备。研发融合数字孪生、大数据、人工智能、边缘计算、
虚拟现实/增强现实（VR/AR）、5G、北斗、卫星互联网等新技术的智能工
控系统、智能工作母机、协作机器人、自适应机器人等新型装备。
聚力研发工业软件产品。推动装备制造商、高校、科研院所、用户企
业、软件企业强化协同，联合开发面向产品全生命周期和制造全过程的核",,
Q01,哪些机构研发或应用生成式人工智能技术但未向境内公众提供服务时，不适用《生成式人工智能服务管理暂行办法》？,zh,direct,phase2_5/cn_genai_interim_measures_2023.html,7db8f1a0-258e-5c4c-ab48-699d6cd5e6f9,66fb6cf6-d5ec-5183-9cf5-2aee221c176a,“十四五”智能制造发展规划,工业和信息化部等八部门,CN,zh,phase2_5\cn_intelligent_manufacturing_14th_fyp_2021.pdf,https://www.miit.gov.cn/jgsj/ghs/zlygh/art/2022/art_c201cab037444d5c94921a53614332f9.html,Page 6,,8,,9,"6
建设智能制造示范工厂。加快新一代信息技术与制造全过程、全要
素深度融合，推进制造技术突破和工艺创新，推行精益管理和业务流程
再造，实现泛在感知、数据贯通、集成互联、人机协作和分析优化，建
设智能场景、智能车间和智能工厂。引导龙头企业建设协同平台，带动
上下游企业同步实施智能制造，打造智慧供应链。鼓励各地方、行业开
展多场景、多层级应用示范，培育推广智能化设计、网络协同制造、大
规模定制、共享制造、智能运维服务等新模式。
专栏 2 智能制造示范工厂建设行动
智能场景。推动数字孪生、人工智能、5G、大数据、区块链、虚拟现
实（VR）/增强现实（AR）/混合现实（MR）等新技术在制造环节的深度应
用，探索形成一批“数字孪生+”“人工智能+”“虚拟/增强/混合现实（XR）
+”等智能场景。
智能车间。覆盖加工、检测、物流等环节，开展工艺改进和革新，推动
设备联网和生产环节数字化连接，强化标准作业、可视管控、精准配送、最
优库存，打造一批智能车间，实现生产数据贯通化、制造柔性化和管理智能
化。
智能工厂。支持基础条件好的企业，围绕设计、生产、管理、服务等制
造全过程开展智能化升级，优化组织结构和业务流程，强化精益生产，打造
一批智能工厂，推动跨业务活动的数据共享和深度挖掘，实现对核心业务的
精准预测、管理优化和自主决策。
智慧供应链。面向汽车、工程机械、轨道交通装备、航空航天装备、船
舶与海洋工程装备、电力装备、医疗装备、家用电器、集成电路等行业，支
持智能制造应用水平高、核心竞争优势突出、资源配置能力强的龙头企业建
设供应链协同平台，打造数据互联互通、信息可信交互、生产深度协同、资
源柔性配置的供应链。
推进中小企业数字化转型。加快实施中小企业数字化促进工程，针对
中小企业典型应用场景，推广一批符合中小企业需求的数字化产品和服
务。支持专精特新“小巨人”企业发挥示范引领作用，开展装备联网、关
键工序数控化、业务系统云化等改造，推动中小企业工艺流程优化、技术
装备升级。依托数字化服务商，提供数字化咨询诊断、智能化改造、上云
用云等服务。",,
Q01,哪些机构研发或应用生成式人工智能技术但未向境内公众提供服务时，不适用《生成式人工智能服务管理暂行办法》？,zh,direct,phase2_5/cn_genai_interim_measures_2023.html,bd00d43c-ee75-5015-a30a-3404ffacef59,14da8012-79ec-5247-8823-bad5c4c2aa47,外商投资准入特别管理措施（负面清单）（2024年版）,国家发展和改革委员会、商务部,CN,zh,phase2_5\cn_foreign_investment_negative_list_2024.pdf,https://www.ndrc.gov.cn/xxgk/zcfb/fzggwl/202409/t20240907_1392875_ext.html,Page 4,,,8,10,"序号 特别管理措施
14 禁止投资中国法律事务（提供有关中国法律环境影响的信息除外），不得成为国内
律师事务所合伙人。
15 市场调查限于合资，其中广播电视收听、收视调查须由中方控股。
16 禁止投资社会调查。
八、科学研究和技术服务业
17 禁止投资人体干细胞、基因诊断与治疗技术开发和应用。
18 禁止投资人文社会科学研究机构。
19
禁止投资大地测量、海洋测绘、测绘航空摄影、地面移动测量、行政区域界线测
绘，地形图、世界政区地图、全国政区地图、省级及以下政区地图、全国性教学地
图、地方性教学地图、真三维地图和导航电子地图编制，区域性的地质填图、矿产
地质、地球物理、地球化学、水文地质、环境地质、地质灾害、遥感地质等调查
（矿业权人在其矿业权范围内开展工作不受此特别管理措施限制）。
九、教育
20
学前、普通高中和高等教育机构限于中外合作办学，须由中方主导（校长或者主要
行政负责人应当具有中国国籍，理事会、董事会或者联合管理委员会的中方组成人
员不得少于 1/2）。
21 禁止投资义务教育机构、宗教教育机构。
十、卫生和社会工作
22 医疗机构限于合资。
十一、文化、体育和娱乐业
23 禁止投资新闻机构（包括但不限于通讯社）。
24 禁止投资图书、报纸、期刊、音像制品和电子出版物的编辑、出版、制作业务。
25
禁止投资各级广播电台（站）、电视台（站）、广播电视频道（率）、广播电视传
输覆盖网（发射台、转播台、广播电视卫星、卫星上行站、卫星收转站、微波站、
监测台及有线广播电视传输覆盖网等），禁止从事广播电视视频点播业务和卫星电
视广播地面接收设施安装服务。
26 禁止投资广播电视节目制作经营（含引进业务）公司。
27 禁止投资电影制作公司、发行公司、院线公司以及电影引进业务。
28 禁止投资文物拍卖的拍卖公司、文物商店和国有文物博物馆。
29 禁止投资文艺表演团体。",,
